,dec,inc,site_lat,site_lon,vgp_lat,vgp_lon
28,"[182.36846071613161, 183.82463486251095, 183.87680102493985, 182.89646339196628, 183.28681751801318, 182.21551750663269, 180.99905888534832, 182.04603831382116]","[-5.2447326793742448, -4.5974803787753489, -4.1509344106295396, -3.2987580264718108, -1.9988751764948591, -4.1124448260165201, -6.2894058567814488, -9.2076318977691578]",0.0,90.0,"[86.462857273268966, 85.536681293883589, 85.602059186644524, 86.666511743181616, 86.564660658460056, 86.975869163081668, 86.691508325248634, 84.935553203079081]","[131.99975769989635, 148.91943439814736, 151.77738220072831, 150.30307713613956, 163.07159210179151, 137.07935393250114, 107.55751150844287, 113.77330905128048]"
29,"[179.83338650696612, 182.80305599846952, 183.38335310053489, 181.58078835506342, 182.33321193487706, 184.33578086640847, 183.21146098239134, 182.16817694509626]","[3.862238535911604, 3.1875241163508194, 1.7290746910905663, -0.15194577295693704, 0.14800668005054482, -6.6562665206773293, -2.9428320066398665, -9.2099229073662858]",0.0,90.0,"[88.059521118610462, 86.775235556193039, 86.5080128689209, 88.417387521004841, 87.665615409130012, 84.529232874965743, 86.467418161892766, 84.884040951734846]","[274.92372374032351, 209.65695220043847, 194.34605379000192, 177.24811980527471, 181.81716816207654, 142.33883859697841, 155.35339398490134, 115.01664410820092]"
30,"[179.34884003042194, 180.20430741655522, 183.54555366162458, 181.45601606352579, 182.27460918661637, 184.35496610256001, 183.21146098239134, 182.27515264539477]","[1.3965664917924114, 5.2328712994004274, 2.4125481367916795, -1.4513689965175935, -1.2236813074326458, -6.5350616644571442, -2.9428320066398665, -9.5006102070038274]",0.0,90.0,"[89.045153060528193, 87.370154253203481, 86.254939364366081, 88.373145254491661, 87.644562758653592, 84.551002993425257, 86.467418161892766, 84.704423448751029]","[312.99373794313226, 265.54743353859067, 198.81090723970038, 153.50078626621348, 164.93856551934459, 142.97287068259595, 155.35339398490134, 115.38089574780577]"
31,"[179.52306140938134, 182.62402202263473, 183.96143273880764, 181.41316635354278, 183.82463486251095, 182.34131349966574, 183.25632645968108, 180.96844142994891]","[2.0186951248042764, 4.2961198016912769, 1.7554018021160482, 0.11156286685939114, -4.5974803787753489, -1.4516447262144199, -3.1694815544651851, -6.5436050742213485]",0.0,90.0,"[88.883370247169523, 86.607447069122784, 85.942606577998987, 88.585733375202665, 85.536681293883589, 87.548787489962578, 86.378370058705386, 86.577763956371669]","[295.28233429163436, 219.36675136180548, 192.50616247028188, 182.26067507207682, 148.91943439814736, 162.76824534169162, 154.01425797968085, 106.41994034407759]"
32,"[180.17142197879565, 182.36663246840629, 183.12260440836585, 181.28500027789363, 182.48559225964655, 182.39592478984582, 181.43364399677679, 182.32028540529637]","[4.569929442436619, 4.1702551066827169, 0.86668458270809134, 0.79691408265371744, 1.8924097168223477, -1.845101889945427, -5.1821908568991173, -9.5105692927574701]",0.0,90.0,"[87.704987848434953, 86.844407230515941, 86.847496338166721, 88.65464411288373, 87.340413749428436, 87.432608149329241, 87.034321485128018, 84.680349285336703]","[265.71868370434782, 221.4400832626801, 187.90527073853048, 197.23019104675055, 200.85352710121452, 158.92855139205716, 118.88680998337281, 115.79524555582151]"
33,"[179.76429713888567, 182.1473811310675, 183.63845854742385, 181.40726031229261, 183.20082674859091, 184.30544264933403, 183.20023945243418, 181.06403919324546]","[3.8687115015472489, 4.9891627023799501, 2.2713421344044109, 0.93745658221883621, -4.4397472655260994, -6.530974110690333, -2.8873487247931156, -5.6883737614567407]",0.0,90.0,"[88.049151189099362, 86.705320013807579, 86.188516321519103, 88.516735687454059, 86.103486793307184, 84.591706176875093, 86.489130237363, 86.956866943611004]","[276.93681240436098, 229.35587482902426, 197.35419832741431, 198.4250724898726, 145.18971517443089, 142.67538517359367, 155.68980282255012, 110.44841052531291]"
34,"[74.390238687140311, 75.260641567130875, 32.956394271587094, 270.47452783901815, 204.75839550020362, 221.45336583523232, 165.44445253352936, 107.52511523609502]","[88.530709922134676, 88.687975351348669, 89.430948257966776, 88.954802323843751, 89.184084206784391, 88.099151030678726, 88.694228637763516, 89.122631396014242]",-90.0,90.0,"[87.063349752624532, 87.377325236980283, 88.862008757659353, 87.910299817849875, 88.368499197693126, 86.202477220046305, 87.38981226317982, 88.245674062369716]","[15.609761312856165, 14.739358432865714, 57.043605728410256, 179.52547216112976, 114.75839550020504, 131.45336583523255, 75.444452533529443, 17.525115236094564]"
35,"[177.47809334433248, 182.95346904948397, 184.36947003951656, 185.56186761462121, 182.85607992749962, 186.02369304545127, 181.27961639679737, 179.15804144422066]","[73.140406012722238, 73.14157921207989, 71.972774418969848, 71.648615845624818, 71.67611347046261, 69.844301042390882, 71.416161833041997, 70.783326638526304]",-60.0,90.0,"[88.228734565477581, 88.064809977457855, 86.182932485561977, 85.391879373788441, 86.174231428015105, 82.91340661908886, 86.023376967230931, 85.097887793277749]","[42.449574139630442, 142.26297098468655, 128.63196119349215, 131.82986835189632, 114.35464924154411, 120.2228791852541, 100.35172542327905, 84.356465478704308]"
36,"[178.5042047921645, 182.90009785369242, 183.79946469129686, 182.71821715713602, 182.34307325323837, 183.90591644588224, 182.40229849085625, 179.74164117010326]","[47.969164961576539, 49.695273954170979, 47.63577557568923, 46.103143416926848, 42.870780474220233, 44.759080301647742, 45.624319387495106, 42.999414332819512]",-30.0,90.0,"[88.369041635301002, 87.44200343250813, 86.455295537960211, 86.515495755782908, 84.491555130312392, 84.999938682325237, 86.387517490543985, 84.991951562696428]","[36.676637572183637, 192.42386234007952, 160.01661263311934, 133.81858481963201, 112.72523244693559, 134.44447739681226, 126.32608257755305, 87.316673648331175]"
37,"[179.69260012019879, 182.76754318003637, 184.03593704870698, 181.47851491915256, 184.2940657133482, 182.33109507737873, 183.26243504501349, 182.37218216963032]","[5.5554844424428955, 4.0037944695820018, 1.571921319491375, -1.2813665289798508, -5.5299359941846227, -1.2154714336136123, -3.2516040753424527, -9.51752588476662]",0.0,90.0,"[87.198809043667339, 86.583340024217122, 85.888341924491371, 88.388636309869725, 84.890656334101095, 87.591011369157329, 86.354713404604823, 84.654381207748287]","[276.29528982226759, 215.93496325285133, 191.03148326536541, 156.56571462385875, 147.11667066826391, 165.3818217237947, 153.47413344024164, 116.27797839059997]"
38,"[179.23637738091423, 180.8033973937853, 181.56051621052782, 179.84964698529097, 181.03309962936552, 182.20939813373096, 181.88409220660631, 182.47529477685615]","[-47.418004393291284, -44.224245579204656, -45.956594664565777, -46.499551948763752, -45.075649141999982, -48.886991230735433, -48.123682109345538, -52.364033531659096]",30.0,90.0,"[88.404451494302975, 85.887809278866285, 87.00670936603683, 87.780025036516506, 86.50525980503231, 88.075222540309909, 88.153804387046605, 86.364503627862604]","[294.8623711328587, 259.87374925171986, 242.40205123660257, 273.43603048284706, 254.66772714941865, 185.16386532273611, 206.96630315606407, 124.85401140111287]"
39,"[179.17546460250298, 178.30499660853303, 180.80932052775438, 178.13927116371693, 177.97752080319984, 177.23139208769999, 180.62278046157454, 184.28638076694594]","[-71.814926069523125, -71.969494540916386, -72.754178085023256, -71.016806799607423, -72.662720635942875, -73.584424631925046, -74.179975373047398, -75.082163749507217]",60.0,90.0,"[86.667378578053459, 86.809841340799792, 88.119144585447117, 85.364874050038594, 87.764042148832687, 88.515753307763219, 89.445848693831564, 87.150033006123991]","[277.8120397306954, 286.85738031154517, 256.87958816558626, 283.16453575142009, 298.62437000292391, 341.20465206919437, 123.64811965018009, 134.98137584977775]"
40,"[117.02033533192521, 106.1519113317059, 19.189805710397835, 122.51530756228803, 76.058256244200862, 23.980364823174249, 33.25521358699487, 0.77526232735661316]","[-88.705862703546913, -88.777651088426992, -89.20673930256946, -89.562051875100977, -88.731490143486965, -87.675561408929966, -87.941528979905257, -87.465722129330516]",90.0,90.0,"[87.413044523043837, 87.556413845142828, 88.413782599894901, 89.124154918621088, 87.464222627927896, 85.358749095255888, 85.888358252328274, 84.941321885652002]","[27.020335331924485, 16.15191133170768, 70.81019428960164, 32.515307562307243, 13.941743755799962, 66.019635176825517, 56.744786413004988, 89.224737672643414]"
41,"[96.198558554157671, 46.950337066958255, 132.76996975692964, 310.83243909128544, 191.56251521838664, 201.91576249905913, 166.27275647022054, 111.25899845605005]","[89.326885088285948, 88.967853591272203, 89.777517715571804, 89.406236636111203, 87.840271454230816, 88.459191020298306, 88.522876466849596, 89.118280945926429]",-90.0,90.0,"[88.653955928148534, 87.936376646040756, 89.55504214014573, 88.812600778525933, 85.686662895154726, 86.920607417613837, 87.047713847056471, 88.236979308512076]","[6.1985585541137311, 43.04966293304409, 42.769969756952719, 139.16756090871746, 101.56251521838664, 111.91576249905927, 76.27275647022077, 21.258998456046214]"
42,"[179.74840410230988, 180.34469979403468, 183.96831969458805, 181.31608714766901, 181.96329831360208, 182.50266781183268, 183.02837028457682, 181.0618454306603]","[3.7550657934762297, 5.3124759288293699, 1.5435656047142858, -1.8142275775005112, 1.7885808722965402, -1.3491464289239603, -2.5263803827260136, -5.7627089116573194]",0.0,90.0,"[88.103690305758704, 87.315831747488389, 85.957417532620227, 88.401497992101255, 87.84260057687284, 87.408044780699896, 86.718728802096308, 86.922514670180519]","[277.62153818720617, 262.62706287249995, 191.01702661387344, 145.41212022473781, 204.50071374290212, 164.90766333817226, 157.33537775895286, 110.16618831247678]"
43,"[179.80866153820361, 180.09200058796472, 184.01772137538978, 182.58569028291336, 182.6801302521022, 184.27283254593721, 182.18140207018806, 181.86712609904768]","[5.1666116951209595, 5.1227435750538026, 1.7748923838447876, 0.23457082082350555, -5.3705837061939254, -6.3753709376670225, -4.1348993085253332, -9.2446151898929969]",0.0,90.0,"[87.404374850875584, 87.431851788174939, 85.885545978991601, 87.411652866762438, 86.202581324816961, 84.664958330000076, 86.993017366346209, 84.987508721305176]","[274.22455419345459, 267.94838740711987, 192.46942261974493, 182.59801815609529, 134.85035946460425, 143.13652835200867, 136.47964285557015, 111.81898213758853]"
44,"[179.82760760178076, 180.12059426283435, 183.96214699917957, 181.26534814752711, 183.4085839644419, 183.53430108589868, 182.55172996696811, 182.27808148825605]","[5.3896303628656126, 5.1730210365612024, 1.9161600139498662, -0.16683901858919423, -4.1885277958218179, -3.3227889885359669, -3.8731908556913708, -9.3116923077082685]",0.0,90.0,"[87.293718025211064, 87.405405515403871, 85.923779300843179, 88.731905505447799, 85.998632831152946, 86.094535181991418, 86.795655169567397, 84.789999362006697]","[273.64955224039443, 267.33780598406247, 193.60898095162673, 176.22785262521495, 148.37237922341791, 154.78408858481606, 142.75268171159502, 115.86650153094632]"
